"Aktuell: Zeit (s)","Aktuell: Potenzial 1 (V)","Aktuell: Potenzial 2 (V)","Aktuell: Potenzial 3 (V)"
0,4.97226715088,-0.00228881835938,4.9919128418
0.01,4.9783706665,-0.00228881835938,4.98886108398
0.02,4.97226715088,-0.00839233398438,4.99496459961
0.03,4.97531890869,-0.00839233398438,4.9919128418
0.04,4.97226715088,0.00381469726562,4.9919128418
0.05,4.97531890869,-0.00228881835938,4.9919128418
0.06,4.97226715088,0.00381469726562,4.9919128418
0.07,4.97531890869,0.00381469726562,4.98886108398
0.08,4.97226715088,-0.00228881835938,4.98580932617
0.09,4.97531890869,0.00381469726562,4.98886108398
0.1,4.97226715088,0.00381469726562,4.99496459961
0.11,4.97531890869,0.00381469726562,4.98886108398
0.12,4.97226715088,0.00381469726562,4.99496459961
0.13,4.97531890869,0.00381469726562,4.98886108398
0.14,4.97531890869,-0.00534057617188,4.9919128418
0.15,4.96921539307,0.00381469726562,4.9919128418
0.16,4.97226715088,-0.00228881835938,4.99496459961
0.17,4.96921539307,0.00381469726562,4.9919128418
0.18,4.97531890869,-0.00228881835938,4.99496459961
0.19,4.97226715088,0.00381469726562,4.9919128418
0.2,4.97531890869,-0.00839233398438,4.9919128418
0.21,4.96921539307,-0.00228881835938,4.9919128418
0.22,4.9783706665,0.000762939453125,4.99496459961
0.23,4.96921539307,0.00381469726562,4.98580932617
0.24,4.97531890869,0.00381469726562,4.9919128418
0.25,4.96616363525,0.00381469726562,4.9919128418
0.26,4.97226715088,0.00381469726562,4.9919128418
0.27,4.97226715088,-0.00839233398438,4.98580932617
0.28,4.96616363525,0.00381469726562,4.99496459961
0.29,4.97226715088,0.00686645507812,4.9919128418
0.3,4.97226715088,-0.0112533569336,4.9919128418
0.31,4.97226715088,0.00381469726562,4.99496459961
0.32,4.96921539307,0.00381469726562,4.9919128418
0.33,4.97226715088,-0.00228881835938,4.9919128418
0.34,4.96921539307,0.00381469726562,4.99496459961
0.35,4.97226715088,-0.00228881835938,4.99496459961
0.36,4.96921539307,-0.00534057617188,4.9919128418
0.37,4.97531890869,0.000762939453125,4.99496459961
0.38,4.96921539307,0.000762939453125,4.99496459961
0.39,4.97531890869,-0.00839233398438,4.9919128418
0.4,4.96921539307,-0.00228881835938,4.99496459961
0.41,4.97226715088,-0.00228881835938,4.99496459961
0.42,4.97226715088,-0.00228881835938,4.9919128418
0.43,4.97226715088,0.00381469726562,4.9919128418
0.44,4.97226715088,0.000762939453125,4.98886108398
0.45,4.97226715088,0.00381469726562,4.98886108398
0.46,4.97226715088,0.00381469726562,4.9919128418
0.47,4.97226715088,0.00381469726562,4.99496459961
0.48,4.97226715088,0.000762939453125,4.9919128418
0.49,4.97226715088,0.000762939453125,4.9919128418
0.5,4.97226715088,-0.00534057617188,4.99496459961
0.51,4.96921539307,0.00381469726562,4.9919128418
0.52,4.97226715088,-0.00534057617188,4.9919128418
0.53,4.96311187744,0.00381469726562,4.9919128418
0.54,4.97226715088,-0.00839233398438,4.9919128418
0.55,4.96921539307,-0.00839233398438,4.9919128418
0.56,4.96311187744,-0.00534057617188,4.99496459961
0.57,4.96921539307,0.00381469726562,4.99496459961
0.58,4.97531890869,-0.00839233398438,4.9919128418
0.59,4.96921539307,0.000762939453125,4.9919128418
0.6,4.97226715088,0.00381469726562,4.98886108398
0.61,4.96921539307,-0.00534057617188,4.9919128418
0.62,4.96616363525,-0.00228881835938,4.99496459961
0.63,4.96921539307,0.000762939453125,4.98886108398
0.64,4.97226715088,-0.00228881835938,4.9919128418
0.65,4.96921539307,0.000762939453125,4.99496459961
0.66,4.96006011963,-4.97989654541,4.9919128418
0.67,4.91123199463,-4.92820739746,4.9919128418
0.68,4.8656463623,-4.88243103027,4.9919128418
0.69,4.81376647949,-4.83360290527,4.99496459961
0.7,4.76818084717,-4.77867126465,4.9919128418
0.71,4.72240447998,-4.73003387451,4.98580932617
0.72,4.67681884766,-4.69341278076,4.99496459961
0.73,4.62493896484,-4.63542938232,4.99496459961
0.74,4.58240509033,-4.59289550781,4.9919128418
0.75,4.53052520752,-4.55322265625,4.9919128418
0.76,4.49409484863,-4.51354980469,4.99496459961
0.77,4.44526672363,-4.45556640625,4.98580932617
0.78,4.40883636475,-4.43134307861,4.99496459961
0.79,4.36305999756,-4.37335968018,4.9919128418
0.8,4.323387146,-4.33368682861,4.9919128418
0.81,4.27780151367,-4.28791046143,4.98886108398
0.82,4.23812866211,-4.2423248291,4.98580932617
0.83,4.19254302979,-4.21485900879,4.99496459961
0.84,4.15287017822,-4.15992736816,4.98580932617
0.85,4.11033630371,-4.12635803223,4.9919128418
0.86,4.07676696777,-4.08992767334,4.9919128418
0.87,4.03099060059,-4.04720306396,4.9919128418
0.88,3.9945602417,-4.00142669678,4.98886108398
0.89,3.94878387451,-3.97090911865,4.99496459961
0.9,3.91845703125,-3.92837524414,4.9919128418
0.91,3.8818359375,-3.88870239258,4.9919128418
0.92,3.84826660156,-3.86123657227,4.99496459961
0.93,3.80573272705,-3.80935668945,4.9919128418
0.94,3.76605987549,-3.77597808838,4.9919128418
0.95,3.7296295166,-3.73935699463,4.98886108398
0.96,3.69300842285,-3.69968414307,4.9919128418
