"Aktuell: Zeit (s)","Aktuell: Potenzial 1 (V)","Aktuell: Potenzial 2 (V)","Aktuell: Potenzial 3 (V)"
0,4.94785308838,-0.00839233398438,4.9919128418
0.01,4.96006011963,-0.0143051147461,4.98580932617
0.02,4.95700836182,-0.00839233398438,4.98580932617
0.03,4.96006011963,-0.0173568725586,4.9919128418
0.04,4.95090484619,-0.00534057617188,4.9919128418
0.05,4.96006011963,-0.0265121459961,4.9919128418
0.06,4.953956604,-0.00228881835938,4.98580932617
0.07,4.96006011963,-0.0234603881836,4.98580932617
0.08,4.96006011963,-0.00839233398438,4.9919128418
0.09,4.95700836182,-0.0112533569336,4.98886108398
0.1,4.953956604,-0.00839233398438,4.98580932617
0.11,4.953956604,-0.0204086303711,4.9919128418
0.12,4.96006011963,-0.0143051147461,4.9919128418
0.13,4.95700836182,-0.0173568725586,4.9919128418
0.14,4.95700836182,-0.00534057617188,4.9919128418
0.15,4.953956604,-0.0143051147461,4.98886108398
0.16,4.95700836182,-0.0112533569336,4.98580932617
0.17,4.95090484619,-0.0112533569336,4.9919128418
0.18,4.95700836182,-0.00228881835938,4.9919128418
0.19,4.96006011963,-0.0173568725586,4.98580932617
0.2,4.95700836182,-0.0112533569336,4.9919128418
0.21,4.953956604,-0.0204086303711,4.9919128418
0.22,4.94785308838,-0.00839233398438,4.9919128418
0.23,4.95700836182,-0.0173568725586,4.98580932617
0.24,4.96006011963,-0.00839233398438,4.98886108398
0.25,4.95700836182,-0.0173568725586,4.98886108398
0.26,4.953956604,-0.00534057617188,4.9919128418
0.27,4.95700836182,-0.0143051147461,4.9919128418
0.28,4.95700836182,-0.00839233398438,4.98886108398
0.29,4.953956604,-0.0173568725586,4.98580932617
0.3,4.95700836182,-0.00839233398438,4.9919128418
0.31,4.953956604,-0.0143051147461,4.9919128418
0.32,4.953956604,-0.00534057617188,4.98275756836
0.33,4.95700836182,-0.0204086303711,4.9919128418
0.34,4.953956604,-0.00839233398438,4.9919128418
0.35,4.95700836182,-0.0173568725586,4.9919128418
0.36,4.95700836182,-0.00534057617188,4.9919128418
0.37,4.95700836182,-0.0295639038086,4.9919128418
0.38,4.94785308838,-0.0112533569336,4.98886108398
0.39,4.94785308838,-0.0173568725586,4.98886108398
0.4,4.96006011963,-0.00839233398438,4.9919128418
0.41,4.95700836182,-0.0143051147461,4.98275756836
0.42,4.95090484619,-0.0143051147461,4.98886108398
0.43,4.94785308838,-0.0173568725586,4.9919128418
0.44,4.95700836182,-0.0112533569336,4.9919128418
0.45,4.95700836182,-0.0173568725586,4.98580932617
0.46,4.95700836182,-0.00534057617188,4.9919128418
0.47,4.95090484619,-4.96768951416,4.98886108398
0.48,4.93869781494,-4.95853424072,4.98580932617
0.49,4.93869781494,-4.95548248291,4.98886108398
0.5,4.9295425415,-4.94937896729,4.9919128418
0.51,4.93259429932,-4.94327545166,4.9919128418
0.52,4.91733551025,-4.94632720947,4.9919128418
0.53,4.90818023682,-4.93431091309,4.9919128418
0.54,4.92038726807,-4.92820739746,4.9919128418
0.55,4.91123199463,-4.92820739746,4.9919128418
0.56,4.90818023682,-4.92820739746,4.98886108398
0.57,4.90226745605,-4.91905212402,4.98275756836
0.58,4.89921569824,-4.90684509277,4.98580932617
0.59,4.89616394043,-4.9129486084,4.98275756836
0.6,4.8900604248,-4.90684509277,4.9919128418
0.61,4.88700866699,-4.89158630371,4.9919128418
0.62,4.8656463623,-4.89463806152,4.9919128418
0.63,4.87174987793,-4.8885345459,4.9919128418
0.64,4.86869812012,-4.89158630371,4.98580932617
0.65,4.8656463623,-4.8885345459,4.98886108398
0.66,4.86259460449,-4.89158630371,4.98886108398
0.67,4.85038757324,-4.87022399902,4.98886108398
0.68,4.8412322998,-4.86106872559,4.98275756836
0.69,4.84733581543,-4.85801696777,4.98886108398
0.7,4.83512878418,-4.85801696777,4.9919128418
0.71,4.83512878418,-4.84886169434,4.9919128418
0.72,4.82597351074,-4.84580993652,4.9919128418
0.73,4.82597351074,-4.83665466309,4.98886108398
0.74,4.81986999512,-4.8397064209,4.97970581055
0.75,4.81986999512,-4.8397064209,4.9919128418
0.76,4.81376647949,-4.83665466309,4.98580932617
0.77,4.80480194092,-4.82444763184,4.98886108398
0.78,4.80175018311,-4.8152923584,4.9919128418
0.79,4.79869842529,-4.81224060059,4.9919128418
0.8,4.78954315186,-4.81224060059,4.9919128418
0.81,4.78038787842,-4.80308532715,4.9919128418
0.82,4.78038787842,-4.79698181152,4.9919128418
0.83,4.78038787842,-4.7908782959,4.98275756836
0.84,4.77733612061,-4.7908782959,4.98275756836
0.85,4.77428436279,-4.78782653809,4.98275756836
0.86,4.76207733154,-4.78172302246,4.98886108398
0.87,4.76207733154,-4.77561950684,4.98886108398
0.88,4.75902557373,-4.77256774902,4.9919128418
0.89,4.75292205811,-4.77561950684,4.9919128418
0.9,4.73766326904,-4.76055145264,4.9919128418
0.91,4.73766326904,-4.7513961792,4.9919128418
0.92,4.73766326904,-4.74834442139,4.98275756836
0.93,4.73766326904,-4.74529266357,4.98275756836
0.94,4.72850799561,-4.74529266357,4.98886108398
0.95,4.72545623779,-4.7513961792,4.98886108398
0.96,4.71935272217,-4.73613739014,4.9919128418
