"Aktuell: Zeit (s)","Aktuell: Potenzial 1 (V)","Aktuell: Potenzial 2 (V)","Aktuell: Potenzial 3 (V)"
0,4.953956604,-0.00534057617188,4.97970581055
0.01,4.96006011963,-0.0112533569336,4.98886108398
0.02,4.953956604,-0.00839233398438,4.9919128418
0.03,4.953956604,0.000762939453125,4.9919128418
0.04,4.95700836182,-0.00228881835938,4.98580932617
0.05,4.95700836182,-0.00534057617188,4.98275756836
0.06,4.95700836182,0.000762939453125,4.9919128418
0.07,4.953956604,0.000762939453125,4.9919128418
0.08,4.95700836182,-0.0112533569336,4.98886108398
0.09,4.953956604,-0.00839233398438,4.98886108398
0.1,4.95700836182,0.000762939453125,4.9919128418
0.11,4.96006011963,0.00381469726562,4.9919128418
0.12,4.95700836182,0.000762939453125,4.98580932617
0.13,4.95700836182,-0.00534057617188,4.9919128418
0.14,4.94785308838,0.00381469726562,4.9919128418
0.15,4.95700836182,-0.00228881835938,4.9919128418
0.16,4.95090484619,0.000762939453125,4.98886108398
0.17,4.953956604,0.000762939453125,4.98580932617
0.18,4.953956604,0.00381469726562,4.9919128418
0.19,4.953956604,0.00381469726562,4.98275756836
0.2,4.95700836182,-0.00839233398438,4.9919128418
0.21,4.95700836182,0.000762939453125,4.98580932617
0.22,4.95700836182,0.000762939453125,4.98886108398
0.23,4.95700836182,0.00381469726562,4.97970581055
0.24,4.953956604,0.000762939453125,4.97665405273
0.25,4.95700836182,0.000762939453125,4.9919128418
0.26,4.953956604,0.00381469726562,4.9919128418
0.27,4.95700836182,-0.00228881835938,4.98886108398
0.28,4.953956604,-0.00839233398438,4.98886108398
0.29,4.953956604,0.00381469726562,4.98886108398
0.3,4.96006011963,0.00381469726562,4.9919128418
0.31,4.953956604,0.00381469726562,4.98580932617
0.32,4.95700836182,-0.0143051147461,4.9919128418
0.33,4.953956604,0.00381469726562,4.9919128418
0.34,4.95700836182,0.000762939453125,4.9919128418
0.35,4.95700836182,0.000762939453125,4.98886108398
0.36,4.953956604,-0.00839233398438,4.98275756836
0.37,4.95090484619,-0.00228881835938,4.9919128418
0.38,4.953956604,0.000762939453125,4.9919128418
0.39,4.95090484619,-0.00534057617188,4.98886108398
0.4,4.94174957275,-0.00534057617188,4.98886108398
0.41,4.953956604,0.00381469726562,4.98580932617
0.42,4.95090484619,0.000762939453125,4.9919128418
0.43,4.95090484619,0.000762939453125,4.98580932617
0.44,4.953956604,-0.0173568725586,4.9919128418
